GO_ID	p_value
GO:1903706	4.93036366406596e-05
GO:0006886	4.95588964517053e-05
GO:0002706	5.47079715919712e-05
GO:0045732	5.47079715919712e-05
GO:0050670	5.50435177858337e-05
GO:0032479	5.53059015615705e-05
GO:0032606	5.53059015615705e-05
GO:0060760	5.5374290457161e-05
GO:0031570	5.81860492312281e-05
GO:0006457	5.81860492312281e-05
GO:0071222	5.81860492312281e-05
GO:0045787	5.90056538115728e-05
GO:0062197	6.28075383876565e-05
GO:0001667	6.3243721469651e-05
GO:0002700	6.35337383576659e-05
GO:0050729	7.31917177204975e-05
GO:0034612	7.46595054758632e-05
GO:0002709	8.18059577195416e-05
GO:0051656	8.54874942142911e-05
GO:0051052	8.6984991592498e-05
GO:0007080	8.88431661204521e-05
GO:0070106	9.08189184614316e-05
GO:0071356	9.11763277630826e-05
GO:0061077	9.11763277630826e-05
GO:0045824	9.93594707105594e-05
GO:0044784	0.000102967348784856
GO:0060338	0.000102967348784856
GO:0010638	0.000116200075554354
GO:0051091	0.000116200075554354
GO:0070527	0.000125947647151235
GO:0016236	0.000125947647151235
GO:0045619	0.000127329462032734
GO:0071826	0.00013196106737275
GO:0048872	0.000137058381375477
GO:2000514	0.000137431987424112
GO:0044839	0.000143481399059927
GO:0033209	0.00014729641032975
GO:0042116	0.00015080888132978
GO:0071214	0.00015246013916046
GO:0104004	0.00015246013916046
GO:0051604	0.000155335719491119
GO:0030168	0.000155335719491119
GO:0007249	0.000156878797939061
GO:0043393	0.000165767715369118
GO:0071396	0.000165767715369118
GO:0043367	0.000169591832807744
GO:0006261	0.000180336491690461
GO:0090307	0.000183170118356017
GO:0042129	0.000183170118356017
GO:0006626	0.000191005341959471
GO:0071346	0.000191005341959471
GO:0140374	0.00019794927474114
GO:0043122	0.000210502100226339
GO:0045333	0.000210502100226339
GO:0051338	0.000210502100226339
GO:0034599	0.000211263137007295
GO:1901796	0.0002113852003551
GO:0030218	0.00021513708420228
GO:2001233	0.000218948991610329
GO:0009314	0.000226928134813641
GO:0016241	0.000226928134813641
GO:2000045	0.000226928134813641
GO:0006302	0.000227613435121667
GO:1901293	0.000229073797724764
GO:0009411	0.000231283018070441
GO:0032760	0.000236203257308604
GO:0000281	0.000236203257308604
GO:0002263	0.000259719196590112
GO:0002702	0.000259719196590112
GO:1902969	0.000260103737039634
GO:0002366	0.000260202676325659
GO:0071219	0.000271235398338163
GO:0051092	0.000273751551876885
GO:0070663	0.000275400951649574
GO:0000212	0.000277884809396423
GO:0072594	0.00028456501078908
GO:0042274	0.000296308876689411
GO:0051100	0.000302201422076131
GO:0006310	0.000304696784865868
GO:0070227	0.000335857781777167
GO:0002262	0.00034294840751104
GO:0044786	0.000344855768674213
GO:0022618	0.000348191585384397
GO:0032640	0.000348191585384397
GO:0032680	0.000348191585384397
GO:2000116	0.00035629270587012
GO:0001961	0.000373661789474413
GO:0090407	0.000380939356829908
GO:0000077	0.00038760261897181
GO:0071706	0.000421523795409854
GO:1903555	0.000421523795409854
GO:0031341	0.000469771616458924
GO:0032481	0.000469771616458924
GO:1903901	0.000477250131458114
GO:1902749	0.00048027789577045
GO:0032731	0.000521101426913908
GO:0070269	0.000534474774478669
GO:1902806	0.000544367964292246
GO:0006091	0.000561448153640662
GO:0090316	0.000568063096623569
GO:0000723	0.000570362859044428
GO:0042770	0.000583286834217399
GO:1903557	0.000583286834217399
GO:0031647	0.000587704011632321
GO:0010950	0.000614341321336342
GO:0022411	0.000710372694960835
GO:0071216	0.000719200689309814
GO:0046637	0.00072723888101465
GO:2001235	0.000737901719074645
GO:0050727	0.000762345545762855
GO:0002707	0.000774697411331982
GO:0032608	0.000774697411331982
GO:0032648	0.000774697411331982
GO:0051084	0.000774697411331982
GO:1905820	0.000774697411331982
GO:0000086	0.000774928442256769
GO:0051383	0.000780211860945368
GO:1904666	0.000780211860945368
GO:0002360	0.000790827695270083
GO:0072678	0.000800411032375337
GO:0002287	0.000809925707561638
GO:0002293	0.000809925707561638
GO:0006412	0.000809925707561638
GO:0006364	0.000818621579806835
GO:0097191	0.000818621579806835
GO:0034101	0.000821854384685907
GO:0002820	0.000837136857006257
GO:0034109	0.000852782377856838
GO:0042113	0.000859912224799629
GO:1902750	0.000885712192947739
GO:0032392	0.00090410450614388
GO:0050900	0.00090410450614388
GO:0072521	0.00090410450614388
GO:1903320	0.000919593311267966
GO:1901623	0.000933823305791439
GO:0010952	0.000937057351872132
GO:0051702	0.00095108006159559
GO:0006163	0.000975205419143502
GO:0002704	0.00098162318959055
GO:0072676	0.000984652842924176
GO:0090398	0.000984652842924176
GO:0002705	0.000992112067078379
GO:0070231	0.00100568254570182
GO:0030162	0.00101737158539831
GO:0006605	0.00101915954074727
GO:0052548	0.00103037772190217
GO:0006897	0.00103037772190217
GO:0033119	0.00103648230147706
GO:0036344	0.00103648230147706
GO:2001056	0.00103802288206994
GO:0009895	0.00107408957932227
GO:0032946	0.00109344899041446
GO:2000403	0.00110937559942796
GO:0071103	0.00110937559942796
GO:0034508	0.00110937559942796
GO:0032508	0.00111061699542963
GO:0045580	0.00115202717640061
