GO_ID	p_value
GO:0010720	0.0394221240712256
GO:0048255	0.0395858618612762
GO:0010810	0.0395858618612762
GO:0016553	0.0395858618612762
GO:0001732	0.0395858618612762
GO:0002829	0.0395858618612762
GO:0043374	0.0395858618612762
GO:0046007	0.0395858618612762
GO:0070234	0.0395858618612762
GO:0007098	0.0396728145504636
GO:0043038	0.0396728145504636
GO:0002825	0.0396728145504636
GO:0007064	0.0396728145504636
GO:0045070	0.0396728145504636
GO:0070723	0.0396728145504636
GO:1900027	0.0396728145504636
GO:1904357	0.0396728145504636
GO:0001954	0.0397552614010014
GO:1902895	0.0397552614010014
GO:0045637	0.040207690841792
GO:0001659	0.0403386406980086
GO:0045589	0.0405544182543179
GO:0046677	0.0405544182543179
GO:0034502	0.0415735942319243
GO:0042063	0.0423840554240335
GO:0006368	0.042411300611215
GO:0000422	0.0426541735666868
GO:0050672	0.0426541735666868
GO:0009792	0.0426541735666868
GO:0007229	0.0426541735666868
GO:0032620	0.0426541735666868
GO:0032660	0.0426541735666868
GO:0000423	0.0426541735666868
GO:1903321	0.0426541735666868
GO:0051099	0.0426541735666868
GO:0043648	0.0426541735666868
GO:0030595	0.0426541735666868
GO:0006549	0.0426541735666868
GO:0008315	0.0426541735666868
GO:0032831	0.0426541735666868
GO:0032927	0.0426541735666868
GO:0072126	0.0426541735666868
GO:1903979	0.0426541735666868
GO:0051302	0.0429592809287298
GO:0051348	0.0429592809287298
GO:0042273	0.0430531275482855
GO:0070201	0.0432344657515187
GO:0000165	0.0433132096430203
GO:0002295	0.0433132096430203
GO:0010818	0.0433132096430203
GO:0032740	0.0433132096430203
GO:0036037	0.0433132096430203
GO:0009126	0.0444507881907185
GO:0032733	0.0444507881907185
GO:0070232	0.0444507881907185
GO:0010332	0.0450546298694577
GO:0000462	0.045201575955139
GO:0007260	0.045201575955139
GO:0045577	0.045201575955139
GO:0009611	0.0453824227181701
GO:0008285	0.0455119635362326
GO:0048511	0.0459627725044944
GO:0045123	0.0465528296890216
GO:0042327	0.0470925791931581
GO:0043489	0.0473025487361742
GO:1902373	0.0473025487361742
GO:0006826	0.0473344869738971
GO:0006998	0.0473344869738971
GO:0070555	0.0474557491429208
GO:0032727	0.047689556027765
GO:0042531	0.047689556027765
GO:1903241	0.047689556027765
GO:0071347	0.048084276753719
GO:1902369	0.0483196783700942
GO:0070664	0.0483719395225734
GO:0140013	0.0491247874378703
